,sentence,target
52,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",Central Banks
53,Morrisons and Debenhams surprise City with Christmas bounce back,Price Action
54,"Britain's FTSE falls back with Ashtead, commodities under pressure",Volatility
55,Tesco shares jump 6% after Christmas sales beat expectations,Sales
56,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",Risks
57,CompaniesHome Retail trims gains but is considered 'in play',Price Action
58,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,Sales
59,Investors Remain Skeptical About Shell-BG Deal,Rumors
60,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,Buyside
61,Shire share price under pressure after $32bn Baxalta deal,Price Action
62,Valeant Names Interim Leader as CEO Remains Hospitalized,Appointment
63,Valeant Said to Name New CEO With Pearson Still Hospitalized,Appointment
64,Shares in BAE Systems hit 10-month high on rating upgrade,Coverage
65,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,Buyside
66,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,Volatility
67,CompaniesDixons Carphone to close 134 UK stores as sales jump,Sales
68,"Broker tips: RBS, Croda, Sage",Rumors
69,Shell share price: Standard Life announce position against BG acquisition,M&A
70,Tesco share price down as grocer faces SFO investigation outcome,Price Action
71,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",Volatility
72,Greene King's third quarter sales boosted by festive season,Sales
73,ARM Royalties Accelerate as Smartphone Market Regains Strength,Market
74,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,Appointment
75,InterContinental Hotels Group share price climbs on $1.5bn special dividend,Dividend Policy
76,Amazon to attack UK grocery market with Morrisons deal,Market
77,AstraZeneca share price: Acerta deal pays off with orphan drug status,M&A
78,"BHP Billiton posts big loss, slashes dividend",Dividend Policy
79,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,M&A
80,BG Group appoints new CEO one month early,Appointment
81,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",Rumors
82,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Rumors
83,BHP Billiton drags FTSE lower after slashing dividend,Dividend Policy
84,"BHP Billiton slashes dividend, posts $5.67 billion net loss",Dividend Policy
85,CompaniesMeggitt profits hit by weak energy and military markets,Market
86,Royal Mail share price edges lower as group raises stamp price,Price Action
87,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",Strategy
88,GlaxoSmithKline starts hunt for successor to CEO Witty,Appointment
89,"Rio Tinto swings to loss, drops dividend policy",Dividend Policy
90,France raises concerns over proposed LSE-Deutsche Boerse deal,Risks
91,MarketsBP promotes upstream boss to deputy CEO,Appointment
92,Legal & General share price: Finance chief to step down,Appointment
93,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,Appointment
94,Arm profits and sales up as shift away from mobile gains pace,Sales
95,Barclays appoints JPMorgan's Paul Compton as new COO,Appointment
96,U.S. Debt Lures Schroders as ECB Depresses Rates,Central Banks
97,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",Legal
98,NYSE owner ICE considers offer for LSE,Rumors
99,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,M&A
100,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Dividend Policy
101,Intertek swings to Â£347 mln loss on oil's slump,Volatility
102,Sanofi poaches AstraZeneca scientist as new research head,Appointment
103,Tesco breaks its downward slide by cutting sales decline in half,Sales
104,"News FeedSchroders books solid earnings growth, several board changes",Fundamentals
105,Intertek Group announces strategic update outlining its plan,Strategy
106,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,M&A
107,Tullow Oil Suspends Dividend Amid Oil Price Fall,Dividend Policy
108,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,M&A
109,AB InBev to Sell SABMiller Stake in China's Snow Beer,Signal
110,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,M&A
111,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,Dividend Policy
112,Industry NewsWolseley confident in reslilience amid mixed markets,Market
113,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,Reputation
114,FTSE edges up as investors cheer Kingfisher results,Price Action
115,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Dividend Policy
116,Britain's FTSE gets lift from Prudential results,Financial
117,Amazon's grocery deal with Morrisons is only the beginning,Sales
118,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",Risks
119,ICE Said to Start Lining Up Financing for LSE Bidding War,Rumors
120,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",Appointment
121,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,M&A
122,Aviva weighs cash handout after beating profit forecast,Dividend Policy
123,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",Fundamentals
124,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Strategy
125,AB InBev to sell more SAB assets as seeks EU deal approval,M&A
126,Tesco's Sales Pickup Isn't Enough,Sales
127,Spain's CaixaBank Expects To Close Deal For Banco BPI,Sales
128,ITV share price: Group mulls takeover of Canada's Entertainment One,M&A
129,Entertainment One dispels ITV takeover rumours,Rumors
130,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,Price Action
131,Tata Steel working with StanChart for UK unit sale - source,IPO
132,Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,Price Action
133,$TRX http://stks.co/1KkK Long setup. MACD cross.,Technical Analysis
134,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,Price Action
135,Crown Castle buys Tower Development Corp for $461 million,M&A
136,$GRPN might be selling off ahead of $P earnings...,Price Action
137,$IACI http://stks.co/tJU Looks good on the weekly chart.,Technical Analysis
138,"$pcln back over ""up"" trendline from 10/4",Price Action
139,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,Price Action
140,Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,Price Action
141,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,Price Action
142,$MOS looking good here at $58.65. Calls are active in this month and weekly,Options
143,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",Options
144,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,Price Action
145,$TZOO a close above 28.64 and we are ready to rock and roll,Price Action
146,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",Price Action
147,$WFT closng higher from here,Price Action
148,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Price Action
149,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,Price Action
150,$SPY bull move ended waiting for next setup,Price Action
151,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,Technical Analysis
152,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",Technical Analysis
153,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,Price Action
154,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,Price Action
155,volatility squeeze in $AAPL. I hope it gets resolved to the upside,Volatility
156,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",Price Action
157,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,Price Action
158,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,Technical Analysis
159,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",Technical Analysis
160,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,Technical Analysis
161,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,Price Action
162,longed $AMZN 300 @ 189.82,Price Action
163,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",Strategy
164,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",Options
165,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",Sales
166,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",Financial
167,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",Technical Analysis
168,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",Strategy
169,$vxx adding to position here !,Price Action
170,$GPS Gap September Comparable Store Sales -4%,Sales
171,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,Technical Analysis
172,$MA http://stks.co/1CYN continues to consolidate / base here,Price Action
173,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,Price Action
174,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,Price Action
175,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,Financial
176,Here come the shorts marchin' in.  $GMCR.  Lovin' it!,Price Action
177,$aapl news is becoming very bullish again http://stks.co/tMU,Price Action
178,Spain's Caixabank launches new takeover bid for Banco BPI,M&A
179,stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,Price Action
180,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",Price Action
181,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,Technical Analysis
182,Short more $FAZ for all who don't know that means markets will tank now :-p,Price Action
183,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,Price Action
184,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",Coverage
185,$ELN longs...congrats...another HOD,Price Action
186,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",Price Action
187,$TSPT  long 8.00,Price Action
188,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,Price Action
189,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,Price Action
190,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",Price Action
191,$FIO won't stay down,Price Action
192,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",Sales
193,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,Technical Analysis
194,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,Price Action
195,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,M&A
196,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,Price Action
197,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",Fundamentals
198,"$ZSL looking very weak, could be a good short setup.",Price Action
199,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",Price Action
200,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,Price Action
201,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",Dividend Policy
202,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",Technical Analysis
203,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,Technical Analysis
204,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,Price Action
205,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,Price Action
206,$IBM staying strong,Price Action
207,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",Reputation
208,"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",Technical Analysis
209,$SIGA Bid for Reargument Denied by Judge,Legal
210,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",Technical Analysis
211,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,Price Action
212,Shire Sees Baxalta Deal Closing as Expected After New Rules,Sales
213,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,Price Action
214,$RDC Rowan Expands Share Repurchase Program to $150 million,Fundamentals
215,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",M&A
216,$NVDA sideways,Price Action
217,$HITK  Resuming advance into new historical highs.,Price Action
218,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,Technical Analysis
219,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,Technical Analysis
220,RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,Sales
221,"that was quick, out $FIO 21.35, market tanking, scaling down longs now",Market
222,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,Price Action
223,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,Dividend Policy
224,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",Technical Analysis
225,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,Financial
226,$mako hanging in well today. still in a basing pattern. have eyes on it,Price Action
227,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",Price Action
228,$TZA is a rocket ship!!!,Price Action
229,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",Price Action
230,$vxx starting to creep up while $spy sits near hod ...,Price Action
231,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,Price Action
232,VIVUS $VVUS bear raid in effect. Stock down 12%,Price Action
233,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,Price Action
234,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,Price Action
235,$renn topping tail 5 min. chart at 7.31 short from here.,Price Action
236,$SPY weak close,Price Action
237,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,Technical Analysis
238,$EFUT hod  posted buy pm at $4.40,Price Action
239,$AAPL short some 592.49,Price Action
240,Tesco share price steady as analysts weigh in on results,Price Action
241,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",Financial
242,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",Price Action
243,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,Technical Analysis
244,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",Strategy
245,Standard Chartered lags on capital worries,Risks
246,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,Price Action
247,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,Coverage
248,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,Price Action
249,$AXP Looking for continuation with volume increase http://stks.co/c8sR,Price Action
250,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,Dividend Policy
251,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,Sales
252,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",Sales
253,$SPY Long 1/2 position 137.89,Price Action
254,$AAPL price momentum weakening going into the close.,Price Action
255,RT @ACInvestorBlog $AAPL still on track for $500,Price Action
256,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,Price Action
257,$BAC in for swing trade  looks like want go up,Price Action
258,$PCLN runs into the 50sma on the acquisition news,M&A
259,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),Technical Analysis
260,$WYNN big bounce,Price Action
261,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,Technical Analysis
262,$AAPL wants lower. up waves getting smaller on the 2 min,Price Action
263,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,Fundamentals
264,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",Price Action
265,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,Technical Analysis
266,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,M&A
267,$AAPL 620 resistance area,Technical Analysis
268,what is up with $HK..... from Jan to now it's been a sinking ship...,Price Action
269,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",M&A
270,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,Options
271,"$AAPL bounce right now has no vol, more vol when it slid",Price Action
272,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",Technical Analysis
273,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,Technical Analysis
274,$AAPL long 630.91,Price Action
275,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",Signal
276,$KCG bot at 2.24,Price Action
277,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,Price Action
278,Should You Follow Berkshire Hathaway Into Apple Stock?,Rumors
279,pretty steady accumulation off support today.  Purdy. $AGU,Price Action
280,Out of shorts $ALTR at 38.85 with loss,Price Action
281,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",Price Action
282,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,Technical Analysis
283,"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",Price Action
284,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",Coverage
285,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,Options
286,"Went long on this $COG, will see 70's again me thinks",Price Action
287,$AAPL nibbling on a small long via 525.. buying off 13min charts..,Price Action
288,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,Price Action
289,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",Price Action
290,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,Price Action
291,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,Price Action
292,$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,Price Action
293,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,Financial
294,$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,Price Action
295,$KITD Looking for a oversold bounce.,Price Action
296,Morrisons book second consecutive quarter of sales growth,Sales
297,$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,Technical Analysis
298,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,Technical Analysis
299,$aapl.  Test the high today and probably go beyond after hours...,Technical Analysis
300,Long $PCLN,Price Action
301,Royal Mail gets mixed bag from Ofcom postal regulation report,Regulatory
302,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",Price Action
303,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,Technical Analysis
304,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,Price Action
305,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,Rumors
306,$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,Price Action
307,$DMND green and moving,Price Action
308,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,Insider Activity
309,$MTD (Mettler-Toledo) ready for a breakout,Technical Analysis
310,Standard Life share price: Insurer buys advice firm Pearson Jones,Strategy
311,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",Sales
312,$ACAD under $2 today?,Price Action
313,$amzn breaking,Price Action
314,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,Legal
315,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",Price Action
316,RT @bman1 $LNG looks primed also $EGHT poised to run too...,Price Action
317,$AAPL broke descending channel....will it hold?,Technical Analysis
318,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,Price Action
319,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",Dividend Policy
320,$AMD big dumping... would not touch it for a while,Price Action
321,$GNRC finding support at its 10-day line so far.,Price Action
322,"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",Price Action
323,"$QCOR Just added 3,000 shares @28.",Price Action
324,"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ",Price Action
325,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,Price Action
326,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",M&A
327,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,Sales
328,Retail giant Kingfisher reports 'solid' start to the year,Company Communication
329,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,Price Action
330,$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,Price Action
331,$FB Nice buyable intraday dip right here,Price Action
332,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,Price Action
333,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,Price Action
334,$GOOG resistance turned support?  It,Technical Analysis
335,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,Price Action
336,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,Options
337,$AAPL I am big OUT from this. seems its falling towards 530.. :(,Price Action
338,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,Price Action
339,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,Price Action
340,$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,Price Action
341,$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,Volatility
342,$brcm raises revenue forecast,Financial
343,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,Price Action
344,$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,Technical Analysis
345,$EDU bouncing nicely after add-on (posted),Price Action
346,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,Technical Analysis
347,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,Technical Analysis
348,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,Price Action
349,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",Price Action
350,$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,Price Action
351,"$TYC just about to break out to new highs, lots of technicals looking great right now.",Price Action
352,"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",Technical Analysis
